n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
65,white_bottle_cap,Cylinder,Plastic,,,,,,,,,,,1.67E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=08fb0f47ef7e454fbf7092517b2264b2
163,blue_bottle_cap,Cylinder,Plastic,,,,,,,,,,,1.67E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=08fb0f47ef7e454fbf7092517b2264b2
133,spatula,Cylinder,Plastic,,,,65,,,7.86E+06,,,7.49E+08,2.16E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=29340c5df4bf4de0a511419ce86db27b
134,rubber_spatula_handle,Cylinder,Plastic,,,,72,,,9.27E+06,,,1.18E+09,2.16E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=29340c5df4bf4de0a511419ce86db27b
57,delrin_cylinder,Cylinder,Plastic,,,,,,,,,,,2.76E+09,5,,https://laminatedplastics.com/delrin.pdf
143,pipe_junction_big,Cylinder,Plastic,,,,,,,,,,,2.76E+09,5,,
146,coca_cola_cup,Cylinder,Plastic,,,,,,,,,,,2.93E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=3cb08da2a0054447a3790015b7214d07
62,ethernet_adapter,Cylinder,Plastic,,,,,,,,,,,2.97E+09,5,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
131,screwdriver_handle,Cylinder,Plastic,,,,20,,,2.73E+06,,,4.11E+07,2.97E+09,5,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
132,spatula_simple,Cylinder,Plastic,,,,76,,,1.02E+07,,,1.52E+09,2.97E+09,5,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
218,ladle_simple,Cylinder,Plastic,,,,76,,,1.02E+07,,,1.52E+09,2.97E+09,8,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
18,plastic_banana,Cylinder,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
142,power_cable,Cylinder,Rubber,,,90,40,1.39E+07,4.37E+06,4.37E+06,,2.10E+07,1.49E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
120,plate_small,Cylinder,Plastic,,,,94,,,1.55E+07,,,4.86E+09,8.90E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=b9d8e1a9b4a741339d86e3357b9720b7
221,felt_paint_brush,Cylinder,Wood,,,,,,,,,,,9.50E+09,7,,https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html
49,wooden_dowel_long,Cylinder,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
50,wooden_dowel_short,Cylinder,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
208,wooden_dowel_tiny,Cylinder,Wood,,,,,,,,,,,1.00E+10,8,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
212,pencil_round,Cylinder,Wood,,,,,,,,,,,1.10E+10,6,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
198,chopstick,Cylinder,Wood,,,,,,,,,,,1.19E+10,8,,https://www.matweb.com/search/datasheet_print.aspx?matguid=c499c231f20d4284a4da8bea3d2644fc
110,hammer_handle,Cylinder,Wood,,,,,,,,,,,1.25E+10,5,,https://amesweb.info/Materials/Youngs-Modulus-of-Wood.aspx
29,mug,Cylinder,Ceramic,,,,90,,,1.41E+07,,,3.75E+09,5.85E+10,5,,https://www.engineeringtoolbox.com/ceramics-properties-d_1227.html
119,plate_big,Cylinder,Ceramic,,,,,,,,,,,5.85E+10,5,,https://www.engineeringtoolbox.com/ceramics-properties-d_1227.html
209,nail_polish_jar,Cylinder,Glass,,,,,,,,,,,6.25E+10,6,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
